City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-Philippe,90,CA,1572578519,93,45.36,-73.48,286.48,5.7
Atuona,45,PF,1572578519,69,-9.8,-139.03,300.04,4.67
Avarua,16,CK,1572578751,78,-21.21,-159.78,299.15,3.1
Lososina,7,RU,1572578751,64,49.0,140.31,280.54,7.91
Busselton,79,AU,1572578520,80,-33.64,115.35,287.04,3.13
Bredasdorp,56,ZA,1572578520,83,-34.53,20.04,288.15,5.36
Khatanga,51,RU,1572578520,98,71.98,102.47,251.98,0.52
Chokurdakh,12,RU,1572578520,97,70.62,147.9,252.5,1.25
Klaksvik,4,FO,1572578752,93,62.23,-6.59,275.15,1.97
Jamestown,100,AU,1572578752,24,-33.21,138.6,304.48,9.55
Kruisfontein,0,ZA,1572578521,88,-34.0,24.73,282.68,2.55
Tuktoyaktuk,90,CA,1572578521,79,69.44,-133.03,270.15,9.3
Kapaa,40,US,1572578238,74,22.08,-159.32,301.15,2.6
Clyde River,90,CA,1572578522,92,70.47,-68.59,270.15,4.1
Luderitz,100,NA,1572578522,93,-26.65,15.16,287.15,8.7
Ponta do Sol,92,BR,1572578522,90,-20.63,-46.0,292.01,1.19
Punta Arenas,75,CL,1572578487,70,-53.16,-70.91,279.15,8.7
Ushuaia,40,AR,1572578407,65,-54.81,-68.31,280.15,7.7
Chapais,90,CA,1572578523,92,49.78,-74.86,272.15,3.1
Port Alfred,11,ZA,1572578523,92,-33.59,26.89,287.59,0.89
Barcelona,20,ES,1572578024,87,41.38,2.18,289.82,5.1
Airai,88,TL,1572578524,36,-8.93,125.41,303.2,3.34
Salalah,100,OM,1572578291,62,17.01,54.1,302.15,3.1
Dikson,95,RU,1572578524,94,73.51,80.55,259.14,3.43
Saint-Augustin,90,CA,1572578525,93,45.63,-73.98,283.15,5.7
Ahuimanu,90,US,1572578525,74,21.44,-157.84,301.15,0.63
Georgetown,20,GY,1572578525,100,6.8,-58.16,297.15,1.0
Bluff,60,AU,1572578525,30,-23.58,149.07,303.07,6.15
Taunsa,100,PK,1572578525,26,30.7,70.65,298.79,2.42
Meadow Lake,100,CA,1572578525,93,54.13,-108.44,271.57,4.37
Cape Town,95,ZA,1572578100,81,-33.93,18.42,287.59,0.5
Rikitea,78,PF,1572578526,70,-23.12,-134.97,294.87,5.82
Cayenne,0,GF,1572578526,88,4.94,-52.33,298.15,0.5
Tarakan,40,ID,1572578526,74,3.3,117.63,303.15,3.1
Pevek,90,RU,1572578527,95,69.7,170.27,259.15,2.41
Kloulklubed,75,PW,1572578527,74,7.04,134.26,302.15,2.1
Eenhana,100,NA,1572578527,47,-17.48,16.34,300.15,4.1
Toyooka,40,JP,1572578527,60,35.55,134.82,294.15,3.6
Hobart,100,AU,1572578429,27,-42.88,147.33,304.26,7.7
Nome,1,US,1572578528,81,30.04,-94.42,281.48,3.42
New Norfolk,100,AU,1572578528,27,-42.78,147.06,304.82,7.7
Gazanjyk,0,TM,1572578529,55,39.24,55.52,284.98,3.56
Albany,90,US,1572578529,78,42.65,-73.75,295.93,9.3
Lata,0,IN,1572578529,29,30.78,78.62,275.28,0.87
